Date,TransactionID,StaffID,CustomerID,ProductID,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,DayOfWeek,TotalSales,UnitPrice
2023-01-01 00:00:00,0,0,0,0,South,Cash,True,Rainy,20.654913930695127,Poor,Neutral,30,In Store,Sunday,25.064608298859607,12.532304149429804
2023-01-01 01:00:00,1,1,1,1,South,Cash,False,Rainy,23.54949697205013,Average,Positive,33,In Store,Sunday,7.083069895947755,7.083069895947755
2023-01-01 02:00:00,2,2,2,2,North,Cash,True,Rainy,,Excellent,,43,Phone Order,Sunday,33.68032050090291,6.736064100180581
2023-01-01 03:00:00,3,3,3,3,North,Cash,False,Cloudy,20.13748325275725,Poor,Positive,32,Online Order,Sunday,14.629646958492382,7.314823479246191
2023-01-01 04:00:00,4,4,4,4,East,Credit Card,True,Cloudy,23.02098654190831,Good,Neutral,58,In Store,Sunday,7.577727219906418,7.577727219906418
2023-01-01 05:00:00,5,5,5,1,West,Cash,True,Rainy,,Poor,Neutral,30,Phone Order,Sunday,29.136312779909016,14.568156389954508
2023-01-01 06:00:00,6,6,6,1,North,Credit Card,False,Cloudy,29.201027697832565,Excellent,,15,In Store,Sunday,48.34415626235603,16.114718754118677
2023-01-01 07:00:00,7,7,7,3,West,Online,False,Sunny,,Average,Positive,16,Online Order,Sunday,64.74936421948141,12.94987284389628
2023-01-01 08:00:00,8,8,8,3,East,Cash,True,Rainy,,Poor,Neutral,29,Phone Order,Sunday,69.74106395272946,17.435265988182366
2023-01-01 09:00:00,9,9,9,5,West,Credit Card,False,Rainy,20.42287010670833,Average,Neutral,53,In Store,Sunday,39.737896802009,19.8689484010045
2023-01-01 10:00:00,10,10,10,2,South,Online,False,Cloudy,,Good,Neutral,42,In Store,Sunday,51.90056831037102,17.30018943679034
2023-01-01 11:00:00,11,11,11,3,West,Online,False,Rainy,33.22228729383366,Poor,Positive,15,In Store,Sunday,61.69294242055755,15.423235605139388
